"Option"	"Value/Format"	"Description"
"-p, --partition"	"<string>"	"Name of the queue on which to run the job."
"-A, --account"	"<string>"	"Project code"
"-N, --nodes"	"<integer>"	"Number of compute nodes to reserve. Set greater than 1 only for tools that can use multiple nodes."
"-n, --ntasks"	<integer>	"Number of tasks to run. The default is one task per node."
"-c, --cpus-per-task"	<integer>	"Number cpus to use per tasks. Without this option, the controller will use one cpu per task"
"--cpus-per-gpu"	<integer>	"Number of cpus to use per gpu. This is useful for maintaining the ideal gpu/cpu ratio."
"--mem-per-cpu"	"<int>G, <int>M"	"Memory to reserve per cpu per node. This is ideal to use to help with scaling your job and maintaining the proper cpu/mem ratio."
"--mem-per-gpu"	<int>G <int>M	"Memory to reserve per gpu per node. This is ideal to use to help with scaling your job and maintaing the proper gpu/cpu/mem ratio."
"--mem"	"<int>g, <int>m"	Memory to reserve per node. Recommend against using this to help with scaling your jobs easily.
"-t, --time"	"HH:MM:SS, MM, MM:SS, D-HH, D-HH:MM, D-HH:MM:SS"	"Time limit, after which the job will be terminated if it hasn't finished."
"-J, --job-name"	"<string>"	"Arbitrary name for job, to make it more identifiable to you."
"-D, --chdir"	"/path/to/dir/"	"Path to working directory for script, and where log files will be written."
"--mail-type"	"NONE, BEGIN, END, FAIL, REQUEUE, ALL, INVALID_DEPEND, STAGE_OUT, TIME_LIMIT, TIME_LIMIT_90, TIME_LIMIT_80, TIME_LIMIT_50, ARRAY_TASKS"	"Types of email to send. ALL is a good value to use."
"--mail-user"	"Mickey.Mouse@company.org"	"Your email address."
"-d, --dependency"	"afterok:<jobnum>"	"Do not start job until job <jobnum> has completed successfully."
"-a, --array"	"1-12%4"	"Run an array job. The example shows twelve array jobs being run, with a maximum of four running at once."
"-e, --error"	"myjobdescription-%j.err"	"Send errors to a file pattern specified (with %j for job number or %A_%a for array jobs) instead of the standard output file."
"-o, --output"	"myjobdescription-%j.out"	"Sends standard output to the file pattern specified."
"--gpus-per-task"	<integer>	"Number of gpus to use per task (only for tools that use GPUs!"
"-G, --gpus"	"<integer>"	"Number of GPUs required for the job (only for tools that use GPUs!)"
"--pty"	"/bin/bash"	"informs slurm to launch an interactive pseudo terminal using the specified shell. This option is necessary when trying to run an interactive job. /bin/bash should go at the very end of the command. *this option is only available in srun."
