Application	Version
ALLPATHS-LG	52488
bamkit	16.07.26
BAMtools	2.4.0
Barracuda	0.7.107e
bcftools	1.3.1
bedops	2.4.20
bedtools	2.26.0
Bfast	0.7.0a
Bioconductor	3.4
BioPerl	1.6.924
BioPython	1.68
Boost	1.62.0
Bowtie	1.1.2
Bowtie2	2.2.9
BreakDancer	1.4.5
BWA	0.7.15
chimerascan	0.4.5a
ClustalW	2.1
conda	>= 4.2.12
Cufflinks	2.2.1
cutadapt	1.11
DELLY2	0.7.6
DIAMOND	0.8.24
EBSEQ (Bioconductor)	1.14.0
EMBOSS	6.6.0
FASTA	36.3.8e
FASTQC	0.11.5
FASTX-Toolkit	0.0.14
FreeBayes	1.0.2
GenomonFisher	0.2.0
gnuplot	5.0.5
Graphviz	2.38.0
HMMER	3.1b2
HTSeq	0.6.1
htslib	1.3.2
IGV	2.3.88
iSAAC	03.16.09.21
Kraken	0.10.5_beta
LoFreq*	2.1.2
LUMPY-SV	0.2.13
Matplotlib	1.5.3
Mothur	1.38.1
MrBayes	3.2.6
MUSCLE	3.8.31
NCBI BLAST+	2.5.0
NumPy	1.11.2
Oases	0.2.8
OpenBLAS	0.2.19
Pandas	0.19.1
parallel	20160922
Perl	5.22.0
PHYLIP	3.696
Picard	2.7.1
Pindel	0.2.5b8
PLINK	1.07
PLINK-NG	1.90b3.42
Primer3	2.3.7
Pysam	0.8.4
Python	2.7.12
R	3.3.2
R cowplot	0.7.0
R tidyverse	1.0.0
RAxML	8.2.9
RSEM	1.3.0
Sailfish	0.10.0
Salmon	0.7.2
SAMBLASTER	0.1.23
Samtools	1.3.1
scalpel	0.5.3
scikit-bio	0.4.2
SciPy	0.18.1
Seqtk	1.2.94
SHRiMP	2.2.3
SnpEff	4.3c
SnpSift	4.3c
SOAP3-DP	r177
SOAPaligner	2.2
SOAPbuilder	2.2
SOAPdenovo2	2.4.240
SPAdes	3.9.0
SplazerS	1.3.3
SQLite	3.13.0
SRA Tools	>= 2.8.0
STAR	2.5.2b
STAR-fusion	0.8.0
tabix	1.3.2
tassel	5.2.31
T-Coffee	11.00.8cbe486
TMAP	3.4.0
TopHat	2.1.1
Trimmomatic	0.36
Trinity	2.2.0
variant_tools	2.7.0
vcftools	0.1.14
Velvet	1.2.10
