option	Description
"-f"	"Specifies that a full status display be written to standard out"
"-a"	"""All"" jobs are displayed in the alternative format, see the Standard Output section. If the operand is a destination id, all jobs at that destination are displayed. If the operand is a job id, information about that job is displayed"
"-i"	"Job status is displayed in the alternative format. For a destination id operand, status for jobs at that destination which are not running are displayed. This includeds jobs which are queued, held or waiting. If an operand is a job id, status for that job is displayed regardless of its state"
"-r"	"If an operand is a job id, status for that job is displayed. For a destination id operand, status for jobs at that destination which are running are displayed, this includeds jobs which are suspended. If an operand is a job id, status for that job is displayed"
"-n"	"In addition to the basic information, nodes allocated to a job are listed"
"-s"	"In addition to the basic information, any comment provided by the batch administrator or scheduler is shown"
"-G"	"Show size information in giga-bytes"
"-M"	"Show size information, disk or memory in mega-words. A word is considered to be 8 bytes"
"-R"	"In addition to other information, disk reservation information is shown. Not applicable to all systems"
"-u"	"Status for jobs at that destination which are owned by the specified user"
"-w"	"Job status is displayed in a wide format"
"-x"	"Job history is displayed"
"-l"	"Display additional job information"
"-t"	"Include information of child processes"
"-J"	"Show state only for job array"
"-p"	"Show % of child processes completed (completed/total)"
"-H"	"To view only jobs that have been deleted, moved, or finished"
